name,mmsi,imoNumber,callSign,cargo,vesselType,COG,heading,navStatus,SOG,timeOfFix,length,beam,latitude,longitude,datePulled
Mulan,338468693,0,,0-AllShips,36-Sailing,-1,165,15-NotDefined,0,1738655019,10,3,33.845808,-118.395652,2025-02-04T07:45:46Z
Polar Discovery,369272000,9206114,WACW,0-AllShips,8-Tanker,263.3,264,0-Underway(Engine),11,1738655139,273,46,33.675233,-118.475683,2025-02-04T07:45:46Z
Penta-gon,338516751,0,,0-AllShips,37-Pleasure,-1,-1,15-NotDefined,0,1738655034,0,0,33.758937,-118.185097,2025-02-04T07:45:46Z
Buenaventura,367757330,0,,0-AllShips,37-Pleasure,-1,173.8,15-NotDefined,0,1738655062,16,6,33.609712,-117.894467,2025-02-04T07:45:46Z
Joia,368124160,0,,0-AllShips,37-Pleasure,292.1,31.2,15-NotDefined,0,1738655017,10,10,33.72425,-118.069552,2025-02-04T07:45:46Z
Elisa,368242740,0,WDM8377,0-AllShips,37-Pleasure,259.2,87,15-NotDefined,0,1738655104,17,6,33.753585,-118.11451,2025-02-04T07:45:46Z
Falkor,338241559,0,,0-AllShips,37-Pleasure,206.6,66.2,15-NotDefined,0,1738654839,11,22,33.98242,-118.452728,2025-02-04T07:45:46Z
Octavia (us),338351674,0,,0-AllShips,37-Pleasure,300.4,14.7,15-NotDefined,0,1738654683,16,8,34.243583,-119.262395,2025-02-04T07:45:46Z
Yachtzee,338397967,0,,0-AllShips,37-Pleasure,46.4,289.1,15-NotDefined,0,1738654515,21,6,33.610827,-117.925947,2025-02-04T07:45:46Z
Larcona,366988970,0,WDC2171,0-AllShips,31-Towing,329.3,160,0-Underway(Engine),0,1738655141,0,0,33.771117,-118.21313,2025-02-04T07:45:46Z
Condor Express,367568350,0,WDG7544,7-Reserved,6-Passenger,216,196,15-NotDefined,0,1738655110,23,7,34.240245,-119.262508,2025-02-04T07:45:46Z
Adios,338054125,0,,0-AllShips,37-Pleasure,122.4,245.9,15-NotDefined,0,1738654501,15,5,33.981378,-118.449623,2025-02-04T07:45:46Z
Serenade,338165928,0,,0-AllShips,37-Pleasure,118.8,332,15-NotDefined,0,1738655137,0,0,33.758632,-118.184148,2025-02-04T07:45:46Z
Ecore,338398811,0,ENCORE,0-AllShips,37-Pleasure,-1,15.1,15-NotDefined,0,1738654566,11,6,33.60972,-117.895012,2025-02-04T07:45:46Z
Evolo,338471556,0,,0-AllShips,36-Sailing,302.4,255.7,15-NotDefined,0,1738655016,5,1,33.724413,-118.2814,2025-02-04T07:45:46Z
Serengeti,367344710,0,WDE3827,0-AllShips,37-Pleasure,243.2,28,5-Moored,0.1,1738655071,40,8,33.61482,-117.914588,2025-02-04T07:45:46Z
Cielo,368124560,0,WDL3742,0-AllShips,36-Sailing,129.3,18.7,15-NotDefined,0,1738655078,12,4,33.752943,-118.110707,2025-02-04T07:45:46Z
Ym Modesty,636016242,9664885,D5FE7,0-AllShips,7-Cargo,232.2,197,5-Moored,0.1,1738655086,292,40,33.760655,-118.273462,2025-02-04T07:45:46Z
